x	y	r	P( r )	I	SINR	SINRdB	SC	Throughput
0.59	-0.32	0.671193	2.14484e-008	6.83356e-009	3.13866	4.96745	9.51398	7.9872
-0.06	0.86	0.86209	8.49541e-009	1.08957e-008	0.779699	-1.08073	3.86115	2.6624
0.28	-0.28	0.39598	1.51126e-007	4.62655e-009	32.6647	15.1408	23.554	19.968
0.23	0.34	0.410488	1.32288e-007	4.68337e-009	28.2461	14.5096	22.6115	19.968
-0.35	-0.25	0.430116	1.11292e-007	4.79334e-009	23.2178	13.6582	21.3478	19.968
-0.83	-0.2	0.853756	8.80632e-009	9.42558e-009	0.934296	-0.295154	4.41911	3.9936
0.31	0.36	0.475079	7.70365e-008	5.0133e-009	15.3663	11.8657	18.723	15.964
0.5	-0.02	0.5004	6.35706e-008	5.14567e-009	12.3541	10.9181	17.3606	15.964
0.24	-0.75	0.787464	1.18762e-008	8.10485e-009	1.46531	1.65929	6.04392	5.3248
0.74	0.24	0.777946	1.24227e-008	8.28404e-009	1.49959	1.75973	6.13643	5.3248
0.22	0.38	0.43909	1.03106e-007	4.81565e-009	21.4103	13.3062	20.8283	19.968
-0.36	0.51	0.62426	2.80465e-008	6.03706e-009	4.64569	6.6705	11.5939	10.6496
-0.33	-0.65	0.728972	1.58016e-008	7.03267e-009	2.24687	3.51578	7.88844	5.3248
-0.2	-0.34	0.394462	1.53289e-007	4.61341e-009	33.2266	15.2149	23.6649	19.968
-0.57	0.32	0.653682	2.36523e-008	6.60972e-009	3.5784	5.53689	10.1903	7.9872
0.31	0.07	0.317805	3.40985e-007	4.33274e-009	78.699	18.9597	29.3266	19.968
0.21	-0.45	0.496588	6.53947e-008	5.12624e-009	12.7568	11.0574	17.5596	15.964
-0.58	-0.22	0.620322	2.87108e-008	6.17238e-009	4.65146	6.6759	11.6008	10.6496
0.67	-0.31	0.738241	1.50798e-008	7.82941e-009	1.92604	2.84665	7.19155	5.3248
0.02	0.32	0.320624	3.30022e-007	4.34396e-009	75.9719	18.8065	29.0934	19.968
0.85	0.15	0.863134	8.45748e-009	9.2308e-009	0.91622	-0.380003	4.35622	3.9936
0.47	-0.21	0.514782	5.72434e-008	5.29536e-009	10.81	10.3383	16.5376	15.964
0.54	-0.58	0.792465	1.16012e-008	8.22916e-009	1.40977	1.49147	5.89129	5.3248
0.17	-0.02	0.171172	3.36531e-006	3.9881e-009	843.829	29.2625	45.1403	19.968
0.59	-0.61	0.848646	9.00413e-009	9.37183e-009	0.960761	-0.173845	4.51014	3.9936
-0.03	0.2	0.202237	1.81569e-006	4.04174e-009	449.231	26.5247	40.9246	19.968
0.29	-0.64	0.702638	1.8106e-008	6.78533e-009	2.66839	4.2625	8.70604	7.9872
-0.29	-0.75	0.804114	1.09914e-008	8.1608e-009	1.34685	1.29319	5.71408	5.3248
0.53	-0.46	0.701783	1.81877e-008	7.11219e-009	2.55725	4.07773	8.49996	7.9872
0.67	-0.2	0.699214	1.84363e-008	7.01226e-009	2.62913	4.19813	8.63397	7.9872
-0.57	-0.62	0.8422	9.26178e-009	9.09248e-009	1.01862	0.0801037	4.70491	3.9936
-0.56	0.17	0.585235	3.5613e-008	5.80733e-009	6.13237	7.87629	13.1596	11.9808
0.03	0.33	0.331361	2.92157e-007	4.37982e-009	66.7045	18.2416	28.2341	19.968
-0.65	0.28	0.707743	1.76275e-008	7.29884e-009	2.4151	3.82934	8.2268	7.9872
-0.68	-0.45	0.815414	1.04383e-008	9.53912e-009	1.09426	0.391206	4.95133	3.9936
-0.49	-0.02	0.490408	6.84963e-008	5.08765e-009	13.4631	11.2915	17.895	15.964
-0.92	-0.02	0.920217	6.67322e-009	9.54492e-009	0.699135	-1.55439	3.55086	2.6624
-0.44	0.53	0.68884	1.94847e-008	6.71418e-009	2.902	4.62698	9.11957	7.9872
0	-0.4	0.4	1.45582e-007	4.65127e-009	31.2992	14.9553	23.2766	19.968
0.7	0.1	0.707107	1.76862e-008	6.88101e-009	2.57028	4.09981	8.52446	7.9872
0.39	-0.22	0.447772	9.59e-008	4.88765e-009	19.6207	12.9272	20.2708	19.968
0.19	-0.55	0.581893	3.63755e-008	5.73145e-009	6.34661	8.02542	13.3579	11.9808
0.81	0.3	0.863771	8.43443e-009	1.04615e-008	0.806232	-0.935401	3.96028	2.6624
-0.45	0.84	0.952943	5.86385e-009	1.00883e-008	0.581252	-2.35635	3.06924	2.6624
-0.41	-0.32	0.520096	5.51088e-008	5.32723e-009	10.3447	10.1472	16.2683	15.964
-0.29	-0.47	0.552268	4.41342e-008	5.47543e-009	8.06035	9.06354	14.7623	11.9808
0.64	-0.4	0.754718	1.38971e-008	8.18869e-009	1.69711	2.29709	6.64584	5.3248
0.33	0.14	0.358469	2.18403e-007	4.47757e-009	48.7768	16.8821	26.1737	19.968
-0.37	0.16	0.403113	1.41466e-007	4.66364e-009	30.3335	14.8192	23.0733	19.968
-0.07	0.68	0.683593	2.00437e-008	6.96443e-009	2.878	4.5909	9.07823	7.9872
-0.02	-0.27	0.27074	6.17004e-007	4.19638e-009	147.031	21.6741	33.4739	19.968
0.2	-0.37	0.420595	1.20902e-007	4.72835e-009	25.5694	14.0772	21.9686	19.968
-0.62	-0.32	0.697711	1.85837e-008	7.203e-009	2.57998	4.11616	8.54263	7.9872
